id,date,state,statename,deaths,hospitalizedCurrently,positive,totalTestResults
0,20200911,AK,Alaska,2333,15527,136703,1010922
1,20200911,AL,Alabama,2333,15527,136703,1010922
2,20200911,AR,Arkansas,953,4678,68983,798358
3,20200911,AS,American Samoa,0,0,0,1571
4,20200911,AZ,Arizona,5288,21747,207523,1279424
5,20200911,CA,California,14089,0,746191,12451660
6,20200911,CO,Colorado,1889,7186,60185,1087199
7,20200911,CT,Connecticut,4480,11357,54326,1330984
8,20200911,DC,District of Columbia,616,0,14493,321436
9,20200911,DE,Delaware,613,0,18466,256698
10,20200911,FL,Florida,12658,41494,658381,4876756
11,20200911,GA,Georgia,6246,26163,290781,2558319
12,20200911,GU,Guam,23,0,1863,43013
13,20200911,HI,Hawaii,94,610,10292,246483
14,20200911,IA,Idaho,1211,0,71133,673597
15,20200911,ID,Illinois,407,1551,34617,273816
16,20200911,IL,Indiana,8505,0,259883,4634477
17,20200911,IN,Iowa,3420,11651,103505,1183104
18,20200911,KS,Kansas,511,2537,48386,448930
19,20200911,KY,Kentucky,1044,4862,55704,900690
20,20200911,LA,Louisiana,5202,0,157109,2037753
21,20200911,MA,Maine,9180,12411,123986,2905353
22,20200911,MD,Maryland,3828,14756,114724,1432876
23,20200911,ME,Massachusetts,134,432,4792,320008
24,20200911,MI,Michigan,6900,0,122251,3072786
25,20200911,MN,Minnesota,1949,6863,82716,1212560
26,20200911,MO,Missouri,1701,0,99160,1096572
27,20200911,MP,Mariana Islands,2,4,59,14375
28,20200911,MS,Mississippi,2670,5410,89175,618379
29,20200911,MT,Montana,131,518,8785,274658
30,20200911,NC,North Carolina,3023,0,182286,2558654
31,20200911,ND,North Dakota,133,630,14684,506398
32,20200911,NE,Nebraska,430,2119,37373,393812
33,20200911,NH,New Hampshire,434,720,7620,227291
34,20200911,NJ,New Jersey,16023,22918,195888,3140786
35,20200911,NM,New Mexico,816,3238,26429,806999
36,20200911,NV,Nevada,1439,0,72806,633282
37,20200911,NY,New York,25382,89995,442791,9142700
38,20200911,OH,Ohio,4403,14236,135326,2519213
39,20200911,OK,Oklahoma,888,5369,67642,974751
40,20200911,OR,Oregon,499,2235,28865,605739
41,20200911,PA,Pennsylvania,7837,0,142885,1794913
42,20200911,PR,Puerto Rico,523,0,36581,342553
43,20200911,RI,Rhode Island,1071,2620,22905,615683
44,20200911,SC,South Carolina,3028,8353,129046,1044476
45,20200911,SD,South Dakota,177,1138,16117,160963
46,20200911,TN,Tennessee,2025,7624,169859,2420379
47,20200911,TX,Texas,13997,0,653356,5454041
48,20200911,UT,Utah,431,3288,56675,707807
49,20200911,VA,Vermont,2711,17263,131640,1734047
50,20200911,VI,Virgin Islands,18,0,1201,18050
51,20200911,VT,Virginia,58,0,1668,148575
52,20200911,WA,Washington,1991,7018,79011,1614748
53,20200911,WI,West Virginia,1205,6263,91625,1345659
54,20200911,WV,Wisconsin,263,0,12174,471791
55,20200911,WY,Wyoming,42,227,4264,86355
56,20200910,AK,,42,0,6915,393077
57,20200910,AL,,2301,15339,135565,1005738
58,20200910,AR,,940,4606,67803,797178
59,20200910,AS,,0,0,0,1571
60,20200910,AZ,,5273,21611,207002,1272734
61,20200910,CA,,13978,0,742865,12389991
62,20200910,CO,,1882,7173,59920,1079276
63,20200910,CT,,4478,11357,54093,1309460
64,20200910,DC,,616,0,14412,319188
65,20200910,DE,,613,0,18466,256698
66,20200910,FL,,12482,41279,654731,4850259
67,20200910,GA,,6204,26062,289123,2542594
68,20200910,GU,,21,0,1846,42618
69,20200910,HI,,91,604,10123,239272
70,20200910,IA,,1207,0,70405,667869
71,20200910,ID,,406,1536,34310,272164
72,20200910,IL,,8461,0,257571,4577649
73,20200910,IN,,3410,11591,102243,1164141
74,20200910,KS,,495,2470,47410,441414
