id,date,state,statename,deaths,hospitalizedCurrently,positive,totalTestResults,,,,,,,State Name,Abbrev
1,20200911,AL,Alabama,2333,15527,136703,1010922,,,,,,,Alabama,AL
2,20200911,AR,Arkansas,953,4678,68983,798358,,,,,,,Alaska,AK
3,20200911,AS,American Samoa,0,0,0,1571,,,,,,,Arizona,AZ
4,20200911,AZ,Arizona,5288,21747,207523,1279424,,,,,,,Arkansas,AR
5,20200911,CA,California,14089,0,746191,12451660,,,,,,,California,CA
6,20200911,CO,Colorado,1889,7186,60185,1087199,,,,,,,Colorado,CO
7,20200911,CT,Connecticut,4480,11357,54326,1330984,,,,,,,Connecticut,CT
8,20200911,DC,District of Columbia,616,0,14493,321436,,,,,,,Delaware,DE
9,20200911,DE,Delaware,613,0,18466,256698,,,,,,,Florida,FL
10,20200911,FL,Florida,12658,41494,658381,4876756,,,,,,,Georgia,GA
11,20200911,GA,Georgia,6246,26163,290781,2558319,,,,,,,Hawaii,HI
12,20200911,GU,#N/A,23,0,1863,43013,,,,,,,Idaho,ID
13,20200911,HI,Hawaii,94,610,10292,246483,,,,,,,Illinois,IL
14,20200911,IA,Iowa,1211,0,71133,673597,,,,,,,Indiana,IN
15,20200911,ID,Idaho,407,1551,34617,273816,,,,,,,Iowa,IA
16,20200911,IL,Illinois,8505,0,259883,4634477,,,,,,,Kansas,KS
17,20200911,IN,Indiana,3420,11651,103505,1183104,,,,,,,Kentucky,KY
18,20200911,KS,Kansas,511,2537,48386,448930,,,,,,,Louisiana,LA
19,20200911,KY,Kentucky,1044,4862,55704,900690,,,,,,,Maine,ME
20,20200911,LA,Louisiana,5202,0,157109,2037753,,,,,,,Maryland,MD
21,20200911,MA,Massachusetts,9180,12411,123986,2905353,,,,,,,Massachusetts,MA
22,20200911,MD,Maryland,3828,14756,114724,1432876,,,,,,,Michigan,MI
23,20200911,ME,Maine,134,432,4792,320008,,,,,,,Minnesota,MN
24,20200911,MI,Michigan,6900,0,122251,3072786,,,,,,,Mississippi,MS
25,20200911,MN,Minnesota,1949,6863,82716,1212560,,,,,,,Missouri,MO
26,20200911,MO,Missouri,1701,0,99160,1096572,,,,,,,Montana,MT
27,20200911,MP,Northern Marianas,2,4,59,14375,,,,,,,Nebraska,NE
28,20200911,MS,Mississippi,2670,5410,89175,618379,,,,,,,Nevada,NV
29,20200911,MT,Montana,131,518,8785,274658,,,,,,,New Hampshire,NH
30,20200911,NC,North Carolina,3023,0,182286,2558654,,,,,,,New Jersey,NJ
31,20200911,ND,North Dakota,133,630,14684,506398,,,,,,,New Mexico,NM
32,20200911,NE,Nebraska,430,2119,37373,393812,,,,,,,New York,NY
33,20200911,NH,New Hampshire,434,720,7620,227291,,,,,,,North Carolina,NC
34,20200911,NJ,New Jersey,16023,22918,195888,3140786,,,,,,,North Dakota,ND
35,20200911,NM,New Mexico,816,3238,26429,806999,,,,,,,Ohio,OH
36,20200911,NV,Nevada,1439,0,72806,633282,,,,,,,Oklahoma,OK
37,20200911,NY,New York,25382,89995,442791,9142700,,,,,,,Oregon,OR
38,20200911,OH,Ohio,4403,14236,135326,2519213,,,,,,,Pennsylvania,PA
39,20200911,OK,Oklahoma,888,5369,67642,974751,,,,,,,Rhode Island,RI
40,20200911,OR,Oregon,499,2235,28865,605739,,,,,,,South Carolina,SC
41,20200911,PA,Pennsylvania,7837,0,142885,1794913,,,,,,,South Dakota,SD
42,20200911,PR,Puerto Rico,523,0,36581,342553,,,,,,,Tennessee,TN
43,20200911,RI,Rhode Island,1071,2620,22905,615683,,,,,,,Texas,TX
44,20200911,SC,South Carolina,3028,8353,129046,1044476,,,,,,,Utah,UT
45,20200911,SD,South Dakota,177,1138,16117,160963,,,,,,,Vermont,VT
